26808958,320,26.48
26790583,369,11.48
26837898,334,10.26
27837361,421,27.34
28466936,351,6.6
26806990,286,18.41
28559961,678,3.73
27181130,713,38.03
28238167,815,5.78
29922715,352,2.43
34477979,266,7.96
31996068,234,11.72
34356365,177,0.77
27878180,3428,5.69
32683341,718,9.25
26835484,253,3.66
27780645,107,10.61
29874702,209,7.56
27884962,567,18.88
28218398,977,32.77
28894500,290,1.94
28338627,387,10.94
27485246,479,26.85
26733464,275,2.81
26930696,112,6.18
28392302,163,4.73
26836584,268,8.31
28673883,810,17.88
27379595,118,20.7
27707022,232,27.98
27169370,91,2.52
30578497,417,4.68
30578496,417,4.68
27010232,201,2.99
28563091,165,14.3
28684559,282,9.01
31066366,230,7.91
28161884,358,5.69
27033556,118,21.37
28966982,323,11.31
32022676,423,5.53
28799455,201,10.39
31067584,319,5.62
34013823,171,4.76
28046757,1,10.19
27463342,233,21.61
29102238,185,13.85
28521381,145,14.36
33117976,562,3.61
26769971,132,7.91
26858022,244,7.01
26769973,132,4.42
26779753,274,19.65
27348893,372,9.71
33753371,2689,2.19
26956602,244,2.97
28021585,127,9.69
28021586,127,9.69
28471173,334,17.24
29597072,288,24.25
26835393,331,9.15
28471172,1034,17.24
32777331,369,1.88
26808914,143,1.78
26790781,417,6.37
29755413,171,13.06
